Latitude,Longitude,Depth,Magnitude
36.94,72.11,121,4.5
21.79,74.7,5,3.3
30.59,79.28,5,2.4
23.03,94.04,10,3.2
24.45,94.86,98,3.1
27.32,88.62,5,2.6
24.19,93.85,40,3.1
27.07,89.16,5,2.8
34.7,72.92,10,4.7
27.69,86.33,100,3.9
35.78,71.51,150,4.2
28.49,91.96,112,3.1
18.88,95.26,64,3.8
37.31,71.84,45,4.2
36.66,71.31,221,3.9
24.65,94.53,40,3.1
27.41,96.55,10,3.5
16.15,93.07,50,4.1
37.39,71.82,186,3.9
25.7,94.7,30,2.8
26.06,95.38,120,3.6
37.96,73.54,50,3.8
28.7,77.04,5,2.3
25.47,96.25,100,3.9
27.11,88.34,5,2.5
36.28,69.35,50,4
25.69,96.55,198,3.9
25.79,96.46,150,3.6
25.58,96.53,100,4.6
38.24,71.72,10,4.2
26.1,93.01,5,3
34.21,97.99,10,4.6
24.51,94.94,123,2.8
37.13,71.71,10,3.9
27.17,96.05,150,3.7
16.36,94.45,219,3.9
36.81,71.93,16,3.7
36.15,69.08,25,4.7
37,71.6,150,3.9
33.66,76.64,5,3.7
32.69,76.42,5,2.4
22.98,93.77,10,3.4
36.32,71.67,10,4.2
36.7,70.89,239,4.4
29.66,80.53,5,2.9
21.73,94.35,10,4.1
36.79,72.03,10,4
36.96,72.07,10,3.7
36.61,71.31,173,4.4
28.19,76.67,25,4.2
24.15,93.74,36,3.2
27.4,75.43,5,3
35.14,70.27,10,4.2
36.82,72.53,101,3.7
27.7,94.2,10,3.1
37.12,73.53,10,4
37.22,73.49,10,4.3
31.49,76.84,5,3.2
23.82,93.11,57,3.4
39.34,75.8,100,3.7
38.66,73.35,50,4.2
36.66,68.94,50,4.3
21.22,95.49,13,3.7
35.92,68.92,50,4
31.98,77.35,10,2.4
24.45,73.26,5,2.3
36.62,71.23,10,4.1
36.27,72.18,33,3.8
26.85,94.42,10,2.6
26.88,96.18,10,3.3
26.46,94.58,5,2.6
36.54,71.24,10,3.9
23.89,92.88,40.1,3.2
10.97,76.1,10,2.5
21.59,90.31,10,4.1
15.49,94.06,10,4.2
25.87,90.52,10,3.9
37.04,71,10,4.4
26.54,96.66,145,4.1
26.703,95.313,10,2.5
24.98,95,27.7,3.1
22.11,94.2,87,5.2
28.96,76.99,14,3.3
32.72,76.62,5,2.6
36.25,73.74,10,3.6
36.81,71.84,10,4
12.79,93.14,10,4.3
32.71,76.65,5,2.8
39.07,75.73,65,3.6
37.856,66.942,15.8,4.3
35.972,70.623,167,4.3
36.46,71.44,150,4
39.49,75.7,10,4.1
26.92,92.67,10,3.4
36.42,71.26,119,4.3
30.11,80.56,5,2.6
22.14,86.05,63,3.9
3.09,97.92,144,5.2
34.49,75.95,10,3.5
33.1,72.67,10,3.9
27.49,94.34,60,3.1
38.296,75.376,169,4.3
